"MonitoringLocation","TotalDepth_min","TotalDepth_max","maxSampleDepth_min","maxSampleDepth_max","n_DO_min","n_DO_max","year_min","year_max","TotalDepth_10","TotalDepth_90","maxSampleDepth_10","maxSampleDepth_90","n_DO_10","n_DO_90","Num_Events","boo.CBP144","Latitude","Longitude","UTMX","UTMY"
"TSK000.23",0.75,2.8,0.75,2.5,4,11,2005,2017,1.1,2,1,1.75,5,8,412,FALSE,37.41497,-76.71441,348285,4142287
"TSO01",NA,NA,0.1,0.1,1,1,2003,2012,NA,NA,0.1,0.1,1,1,35,FALSE,38.9449,-77.05174,322190,4312663
"TTX27",NA,NA,0.1,0.1,1,1,1990,2012,NA,NA,0.1,0.1,1,1,76,FALSE,38.86845,-76.96914,329166,4304021
"TUK0022",5.7,9.3,5.4,9,7,10,2006,2008,6.5,9,6.2,8.7,8,10,21,FALSE,38.8312,-75.9143,420640,4298441
"TWB01",NA,NA,0.1,0.1,1,1,1990,2012,NA,NA,0.1,0.1,1,1,222,FALSE,38.90345,-76.94553,331297,4307861
"TWB05",NA,NA,0.1,0.1,1,1,1990,2012,NA,NA,0.1,0.1,1,1,233,FALSE,38.894,-76.9147,333949,4306756
"TWB06",NA,NA,0.1,0.1,1,1,1990,2012,NA,NA,0.1,0.1,1,1,232,FALSE,38.89372,-76.93192,332454,4306756
"UMC001.78",1.04,1.9,0.75,1.75,4,8,2007,2009,1.15,1.85,1,1.75,5,8,21,FALSE,38.31697,-77.05922,319977,4242990
"WAR001.58",0.3,1.6,0.25,1.5,2,7,2010,2012,0.6,1.27,0.5,1.1,3,5.40000000000001,87,FALSE,37.37997,-76.43552,372907,4137991
"WAR004.62",1.35,2.56,1.25,2.5,6,11,2010,2012,1.792,2.36,1.75,2.25,8,10,27,FALSE,37.39653,-76.47943,369048,4139889
"WBB05",3,6,0.3,5,1,5,1998,2019,4,6,3,5,2,4,243,FALSE,36.82917,-76.39583,375523,4076830
"WBE1",2,7,1,6,1,6,1990,2019,3,5,2,4,2,4,322,TRUE,36.8432,-76.35939,378795,4078340
"WE4.1",4,7,3,6,3,6,1990,2019,5,6,4,5,4,5,446,TRUE,37.31181,-76.34634,380695,4130313
"WE4.2",4,19,3,18,1,17,1990,2019,12,15,11,14,11,14,449,TRUE,37.24181,-76.38634,377037,4122598
"WE4.2N",3,8,2,7,2,7,1994,1995,3,4.8,2,3.8,2,3.8,13,FALSE,37.25181,-76.3905,376684,4123712
"WE4.2S",2,7,1,6,1,6,1994,1995,2,4,1,3,1,3,13,FALSE,37.23681,-76.38634,377029,4122043
"WE4.3",4,7,3,6,1,6,1990,2019,4,6,3,5,3,5,442,TRUE,37.17681,-76.373,378116,4115369
